Unnamed: 0,Parent Style Code,Style Code,SKU ID,Unique Code,Product Title,L1 Product Category,L2 Product Category,L3 Product Category,Color,Size,MRP,Selling Price,Shipping Charge,Inventory
0,ISH_101K,ISH_101K,ISH_101K_S,GR4557887ISH_101KBlackS,Women's Printed Cotton Black Kurti,Women,Ethnic Wear,Kurtas,Black,S,,500.0,70,5
1,ISH_101K,ISH_101K,ISH_101K_M,GR4557887ISH_101KBlackM,Women's Printed Cotton Black Kurti,Women,Ethnic Wear,Kurtas,Black,M,,500.0,70,5
2,ISH_101K,ISH_101K,ISH_101K_L,GR4557887ISH_101KBlackL,Women's Printed Cotton Black Kurti,Women,Ethnic Wear,Kurtas,Black,L,,500.0,70,11
3,ISH_101K,ISH_101K,ISH_101K_XL,GR4557887ISH_101KBlackXL,Women's Printed Cotton Black Kurti,Women,Ethnic Wear,Kurtas,Black,XL,,500.0,70,9
4,ISH_101K,ISH_101K,ISH_101K_XXL,GR4557887ISH_101KBlack2XL,Women's Printed Cotton Black Kurti,Women,Ethnic Wear,Kurtas,Black,2XL,,500.0,70,8
5,ISH_102K,ISH_102K,ISH_102K_S,GR4557887ISH_102KPurpleS,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,S,,525.0,70,0
6,ISH_102K,ISH_102K,ISH_102K_M,GR4557887ISH_102KPurpleM,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,M,,525.0,70,0
7,ISH_102K,ISH_102K,ISH_102K_L,GR4557887ISH_102KPurpleL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,L,,525.0,70,0
8,ISH_102K,ISH_102K,ISH_102K_XL,GR4557887ISH_102KPurpleXL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,XL,,525.0,70,0
9,ISH_102K,ISH_102K,ISH_102K_XXL,GR4557887ISH_102KPurple2XL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,2XL,,525.0,70,0
10,ISH_103K,ISH_103K,ISH_103K_S,GR4557887ISH_103KPurpleS,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,S,,345.0,70,0
11,ISH_103K,ISH_103K,ISH_103K_M,GR4557887ISH_103KPurpleM,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,M,,345.0,70,0
12,ISH_103K,ISH_103K,ISH_103K_L,GR4557887ISH_103KPurpleL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,L,,345.0,70,0
13,ISH_103K,ISH_103K,ISH_103K_XL,GR4557887ISH_103KPurpleXL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,XL,,345.0,70,0
14,ISH_103K,ISH_103K,ISH_103K_XXL,GR4557887ISH_103KPurple2XL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,2XL,,345.0,70,0
15,ISH_104K,ISH_104K,ISH_104K_S,GR4557887ISH_104KYellowS,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,S,,320.0,70,3
16,ISH_104K,ISH_104K,ISH_104K_M,GR4557887ISH_104KYellowM,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,M,,320.0,70,8
17,ISH_104K,ISH_104K,ISH_104K_L,GR4557887ISH_104KYellowL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,L,,320.0,70,9
18,ISH_104K,ISH_104K,ISH_104K_XL,GR4557887ISH_104KYellowXL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,XL,,320.0,70,4
19,ISH_104K,ISH_104K,ISH_104K_XXL,GR4557887ISH_104KYellow2XL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,2XL,,320.0,70,3
20,ISH_105K,ISH_105K,ISH_105K_S,GR4557887ISH_105KBlueS,Women's Printed Cotton Blue Kurti,Women,Ethnic Wear,Kurtas,Blue,S,,330.0,70,4
21,ISH_105K,ISH_105K,ISH_105K_M,GR4557887ISH_105KBlueM,Women's Printed Cotton Blue Kurti,Women,Ethnic Wear,Kurtas,Blue,M,,330.0,70,0
22,ISH_105K,ISH_105K,ISH_105K_L,GR4557887ISH_105KBlueL,Women's Printed Cotton Blue Kurti,Women,Ethnic Wear,Kurtas,Blue,L,,330.0,70,5
23,ISH_105K,ISH_105K,ISH_105K_XL,GR4557887ISH_105KBlueXL,Women's Printed Cotton Blue Kurti,Women,Ethnic Wear,Kurtas,Blue,XL,,330.0,70,5
24,ISH_105K,ISH_105K,ISH_105K_XXL,GR4557887ISH_105KBlue2XL,Women's Printed Cotton Blue Kurti,Women,Ethnic Wear,Kurtas,Blue,2XL,,330.0,70,4
25,ISH_106K,ISH_106K,ISH_106K_S,GR4557887ISH_106KYellowS,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,S,,360.0,70,5
26,ISH_106K,ISH_106K,ISH_106K_M,GR4557887ISH_106KYellowM,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,M,,360.0,70,5
27,ISH_106K,ISH_106K,ISH_106K_L,GR4557887ISH_106KYellowL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,L,,360.0,70,9
28,ISH_106K,ISH_106K,ISH_106K_XL,GR4557887ISH_106KYellowXL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,XL,,360.0,70,9
29,ISH_106K,ISH_106K,ISH_106K_XXL,GR4557887ISH_106KYellow2XL,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,2XL,,360.0,70,10
30,ISH_107K,ISH_107K,ISH_107K_S,GR4557887ISH_107KGreenS,Women's Printed Cotton Green Kurti,Women,Ethnic Wear,Kurtas,Green,S,,435.0,70,7
31,ISH_107K,ISH_107K,ISH_107K_M,GR4557887ISH_107KGreenM,Women's Printed Cotton Green Kurti,Women,Ethnic Wear,Kurtas,Green,M,,435.0,70,7
32,ISH_107K,ISH_107K,ISH_107K_L,GR4557887ISH_107KGreenL,Women's Printed Cotton Green Kurti,Women,Ethnic Wear,Kurtas,Green,L,,435.0,70,11
33,ISH_107K,ISH_107K,ISH_107K_XL,GR4557887ISH_107KGreenXL,Women's Printed Cotton Green Kurti,Women,Ethnic Wear,Kurtas,Green,XL,,435.0,70,12
34,ISH_107K,ISH_107K,ISH_107K_XXL,GR4557887ISH_107KGreen2XL,Women's Printed Cotton Green Kurti,Women,Ethnic Wear,Kurtas,Green,2XL,,435.0,70,12
35,ISH_108K,ISH_108K,ISH_108K_S,GR4557887ISH_108KPinkS,Women's Printed Cotton Pink Kurti,Women,Ethnic Wear,Kurtas,Pink,S,,500.0,70,4
36,ISH_108K,ISH_108K,ISH_108K_M,GR4557887ISH_108KPinkM,Women's Printed Cotton Pink Kurti,Women,Ethnic Wear,Kurtas,Pink,M,,500.0,70,5
37,ISH_108K,ISH_108K,ISH_108K_L,GR4557887ISH_108KPinkL,Women's Printed Cotton Pink Kurti,Women,Ethnic Wear,Kurtas,Pink,L,,500.0,70,10
38,ISH_108K,ISH_108K,ISH_108K_XL,GR4557887ISH_108KPinkXL,Women's Printed Cotton Pink Kurti,Women,Ethnic Wear,Kurtas,Pink,XL,,500.0,70,7
39,ISH_108K,ISH_108K,ISH_108K_XXL,GR4557887ISH_108KPink2XL,Women's Printed Cotton Pink Kurti,Women,Ethnic Wear,Kurtas,Pink,2XL,,500.0,70,9
40,ISH_109K,ISH_109K,ISH_109K_S,GR4557887ISH_109KPurpleS,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,S,,300.0,70,0
41,ISH_109K,ISH_109K,ISH_109K_M,GR4557887ISH_109KPurpleM,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,M,,300.0,70,0
42,ISH_109K,ISH_109K,ISH_109K_L,GR4557887ISH_109KPurpleL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,L,,300.0,70,0
43,ISH_109K,ISH_109K,ISH_109K_XL,GR4557887ISH_109KPurpleXL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,XL,,300.0,70,0
44,ISH_109K,ISH_109K,ISH_109K_XXL,GR4557887ISH_109KPurple2XL,Women's Printed Cotton Purple Kurti,Women,Ethnic Wear,Kurtas,Purple,2XL,,300.0,70,0
45,ISH_110K,ISH_110K,ISH_110K_S,GR4557887ISH_110KRedS,Women's Printed Cotton Red Kurti,Women,Ethnic Wear,Kurtas,Red,S,,500.0,70,5
46,ISH_110K,ISH_110K,ISH_110K_M,GR4557887ISH_110KRedM,Women's Printed Cotton Red Kurti,Women,Ethnic Wear,Kurtas,Red,M,,500.0,70,4
47,ISH_110K,ISH_110K,ISH_110K_L,GR4557887ISH_110KRedL,Women's Printed Cotton Red Kurti,Women,Ethnic Wear,Kurtas,Red,L,,500.0,70,9
48,ISH_110K,ISH_110K,ISH_110K_XL,GR4557887ISH_110KRedXL,Women's Printed Cotton Red Kurti,Women,Ethnic Wear,Kurtas,Red,XL,,500.0,70,9
49,ISH_110K,ISH_110K,ISH_110K_XXL,GR4557887ISH_110KRed2XL,Women's Printed Cotton Red Kurti,Women,Ethnic Wear,Kurtas,Red,2XL,,500.0,70,10
50,ISH_111K,ISH_111K,ISH_111K_S,GR4557887ISH_111KYellowS,Women's Printed Cotton Yellow Kurti,Women,Ethnic Wear,Kurtas,Yellow,S,,500.0,70,0
