Product Id,Price,Merchant SKU,Product Name,Status,Quantity
227252663,425.0,ISH_116K_M,Ishiv Women Cotton Solid Straight Kurti - Black,Active,0
227252664,819.0,ISH_111K_XL,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,8
227252665,819.0,ISH_111K_L,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,6
227252666,427.0,ISH_116K_2XL,Ishiv Women Cotton Solid Straight Kurti - Black,Active,8
227252667,425.0,ISH_116K_S,Ishiv Women Cotton Solid Straight Kurti - Black,Active,0
227252668,589.0,ISH_105K_L,Ishiv Women Cotton Solid Straight Kurti - Blue,Active,4
227252669,589.0,ISH_105K_S,Ishiv Women Cotton Solid Straight Kurti - Blue,Active,4
227252670,819.0,ISH_111K_M,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,0
227252671,819.0,ISH_111K_2XL,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,1
227252672,425.0,ISH_116K_L,Ishiv Women Cotton Solid Straight Kurti - Black,Active,6
227252673,819.0,ISH_111K_S,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,0
227252674,589.0,ISH_105K_XL,Ishiv Women Cotton Solid Straight Kurti - Blue,Active,5
227252675,589.0,ISH_105K_M,Ishiv Women Cotton Solid Straight Kurti - Blue,Active,0
227252676,589.0,ISH_105K_2XL,Ishiv Women Cotton Solid Straight Kurti - Blue,Active,2
227252677,425.0,ISH_116K_XL,Ishiv Women Cotton Solid Straight Kurti - Black,Active,5
227252681,589.0,ISH_104K_S,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,4
227252682,599.0,ISH_114K_L,Ishiv Women Cotton Solid Straight Kurti - Pink,Active,10
227252683,609.0,ISH_103K_XL,Ishiv Women Cotton Solid A line Kurti - Purple,Active,0
227252684,549.0,ISH_109K_XL,Ishiv Women Cotton Solid Straight Kurti - Purple,Active,0
227252685,589.0,ISH_104K_XL,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,4
227252686,599.0,ISH_114K_2XL,Ishiv Women Cotton Solid Straight Kurti - Pink,Active,10
227252687,619.0,ISH_119K_2XL,Ishiv Women Cotton Solid Straight Kurti - Green,Active,6
227252688,599.0,ISH_114K_XL,Ishiv Women Cotton Solid Straight Kurti - Pink,Active,11
227252689,589.0,ISH_104K_2XL,Ishiv Women Cotton Solid Straight Kurti - Yellow,Active,3
227252690,789.0,ISH_107K_L,Ishiv Women Cotton Solid A line Kurti - Green,Active,11
227252691,609.0,ISH_103K_2XL,Ishiv Women Cotton Solid A line Kurti - Purple,Active,0
